Learning Rate:0.01, Batch Size:100
Epoch:46.0% Of 1/5, Loss:[0.11371751], Batch Acc:69.0%, Epoch Acc:43.0%
########  7.688888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:46.5% Of 1/5, Loss:[0.09275378], Batch Acc:72.0%, Epoch Acc:43.0%
########  7.751666666666667Hrs 0Mins 0Secs remaining  ########
Epoch:47.0% Of 1/5, Loss:[0.11126533], Batch Acc:66.0%, Epoch Acc:44.0%
########  7.6925Hrs 0Mins 0Secs remaining  ########
Epoch:47.5% Of 1/5, Loss:[0.11625011], Batch Acc:71.0%, Epoch Acc:44.0%
########  7.703611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:48.0% Of 1/5, Loss:[0.11483829], Batch Acc:62.0%, Epoch Acc:44.0%
########  7.695Hrs 0Mins 0Secs remaining  ########
Epoch:48.5% Of 1/5, Loss:[0.08981725], Batch Acc:72.0%, Epoch Acc:44.0%
########  7.714722222222222Hrs 0Mins 0Secs remaining  ########
Epoch:49.0% Of 1/5, Loss:[0.10116825], Batch Acc:70.0%, Epoch Acc:45.0%
########  7.621666666666667Hrs 0Mins 0Secs remaining  ########
Epoch:49.5% Of 1/5, Loss:[0.10848713], Batch Acc:65.0%, Epoch Acc:45.0%
########  7.655277777777778Hrs 0Mins 0Secs remaining  ########
Epoch:50.0% Of 1/5, Loss:[0.14903741], Batch Acc:63.0%, Epoch Acc:45.0%
########  7.699166666666667Hrs 0Mins 0Secs remaining  ########
Epoch:50.5% Of 1/5, Loss:[0.12593954], Batch Acc:61.0%, Epoch Acc:45.0%
########  7.646388888888889Hrs 0Mins 0Secs remaining  ########
Epoch:51.0% Of 1/5, Loss:[0.11864275], Batch Acc:67.0%, Epoch Acc:45.0%
########  7.660277777777778Hrs 0Mins 0Secs remaining  ########
Epoch:51.5% Of 1/5, Loss:[0.10711348], Batch Acc:70.0%, Epoch Acc:46.0%
########  7.674444444444444Hrs 0Mins 0Secs remaining  ########
Epoch:52.0% Of 1/5, Loss:[0.09347707], Batch Acc:76.0%, Epoch Acc:46.0%
########  7.616944444444444Hrs 0Mins 0Secs remaining  ########
Epoch:52.5% Of 1/5, Loss:[0.08535593], Batch Acc:73.0%, Epoch Acc:46.0%
########  7.605555555555555Hrs 0Mins 0Secs remaining  ########
Epoch:53.0% Of 1/5, Loss:[0.1153413], Batch Acc:68.0%, Epoch Acc:46.0%
########  7.650833333333333Hrs 0Mins 0Secs remaining  ########
Epoch:53.5% Of 1/5, Loss:[0.1035205], Batch Acc:65.0%, Epoch Acc:47.0%
